feature,MI score
systematic,0.000966119
android,0.00096551
api,0.00096551
comprehension,0.00096551
quantum,0.00096551
transistor,0.00096551
codasyl,0.000964645
datalog,0.000964645
dbmss,0.000964645
heterogeneity,0.000964645
histogram,0.000964645
scans,0.000964645
environment,0.000964235
network,0.000962127
in,0.000961031
factors,0.000960005
optimal,0.0009512
debugging,0.000947836
interaction,0.000947414
exact,0.000943797
lazy,0.000943797
big,0.000938206
searching,0.000937019
web,0.000936664
productivity,0.000929712
communication,0.000929006
checking,0.000924504
oriented,0.00092327
state,0.00092191
as,0.000920318
ranked,0.000906126
rdbms,0.000906126
sorting,0.000906126
clusters,0.000901944
provenance,0.000901944
publishing,0.000901944
values,0.000901944
properties,0.000895571
film,0.000893917
gas,0.000893917
particle,0.000893917
signal,0.000893917
soa,0.000893917
rules,0.000882703
sets,0.000872247
requirement,0.00086666
replicated,0.000861682
spaces,0.000861682
universal,0.000861682
impact,0.000858285
bugs,0.000858124
diode,0.000858124
se,0.000858124
temperature,0.000858124
traceability,0.000858124
unit,0.000858124
verifying,0.000858124
incomplete,0.00085342
sites,0.00085342
string,0.00085342
and,0.000847886
heterogeneous,0.0008449
view,0.0008449
advisor,0.000844008
buffering,0.000844008
conjunctive,0.000844008
encrypted,0.000844008
reorganization,0.000844008
skew,0.000844008
spatiotemporal,0.000844008
subspace,0.000844008
dissemination,0.00083917
workload,0.00083917
usability,0.000835781
collaborative,0.000831467
power,0.00082912
patterns,0.000827203
curriculum,0.000822335
diagnosis,0.000822335
emitting,0.000822335
engineers,0.000822335
gui,0.000822335
mutation,0.000822335
organizational,0.000822335
sustainable,0.000822335
generalized,0.000817316
collaboration,0.000816202
investigation,0.000816202
lessons,0.000816202
transfer,0.000816202
usage,0.000816202
aspects,0.000814885
consistency,0.00081326
discovery,0.000811491
column,0.000802792
persistent,0.000802792
schemas,0.000802792
arbitrary,0.000795492
closure,0.000795492
oltp,0.000795492
predicates,0.000795492
snapshot,0.000795492
0,0.000793702
multiple,0.000790311
online,0.000789812
2011,0.000786548
2015,0.000786548
china,0.000786548
documentation,0.000786548
frameworks,0.000786548
inspection,0.000786548
introducing,0.000786548
thermal,0.000786548
expressions,0.000782014
store,0.000782014
integration,0.000773447
window,0.000770635
tutorial,0.000762846
innovation,0.000750951
mode,0.000750951
courses,0.000750764
decisions,0.000750764
input,0.000750764
reengineering,0.000750764
validation,0.000738696
anonymity,0.000735965
biological,0.000735965
processors,0.000735965
technology,0.000733448
genetic,0.000731274
effects,0.000726924
protocol,0.000726924
authority,0.000723386
crawling,0.000723386
disks,0.000723386
itemset,0.000723386
lineage,0.000723386
match,0.000723386
oodb,0.000723386
synopses,0.000723386
tpc,0.000723386
trajectories,0.000723386
3rd,0.000714984
artificial,0.000714984
faults,0.000714984
optical,0.000713619
parallelism,0.000705329
publish,0.000705329
subscribe,0.000705329
versions,0.000705329
compression,0.000692586
algebra,0.00068913
guarantees,0.00068913
result,0.00068913
sort,0.00068913
assurance,0.000686144
cardinality,0.000685992
collections,0.000685992
computers,0.000685992
indices,0.000685992
ir,0.000685992
ordering,0.000685992
preference,0.000685992
unstructured,0.000685992
microsoft,0.000681491
controlled,0.000679206
invariants,0.000679206
laser,0.000679206
prioritization,0.000679206
semiconductor,0.000679206
first,0.000677079
semantics,0.000675194
changes,0.000674122
characterization,0.000674122
2,0.000668669
role,0.000668669
developing,0.000667326
processes,0.000660998
between,0.00065512
technique,0.00065512
effectiveness,0.000653453
diagrams,0.000645822
amplifier,0.000643432
etching,0.000643432
gan,0.000643432
healing,0.000643432
may,0.000643432
metal,0.000643432
precise,0.000643432
standard,0.000643432
training,0.000643432
independence,0.000634452
transitive,0.000634452
p2p,0.000625469
current,0.000623252
assessing,0.000621843
economics,0.000621843
form,0.000615456
modelling,0.000613087
clone,0.00060766
clones,0.00060766
cycle,0.00060766
errors,0.00060766
gaas,0.00060766
hci,0.00060766
maturity,0.00060766
post,0.00060766
separation,0.00060766
variability,0.00060766
manipulation,0.000606822
coherency,0.000602781
consolidation,0.000602781
containment,0.000602781
deferred,0.000602781
earth,0.000602781
etl,0.000602781
graphics,0.000602781
optimistic,0.000602781
outliers,0.000602781
postgres,0.000602781
projections,0.000602781
referential,0.000602781
tertiary,0.000602781
wavelets,0.000602781
routing,0.000601959
expression,0.000598354
providing,0.000598354
servers,0.000598354
trajectory,0.000598354
record,0.000595565
tables,0.000595565
logging,0.000594507
teams,0.000593994
association,0.000590288
swarm,0.000589906
team,0.000589906
technical,0.000589818
peer,0.000586059
decision,0.000579292
recovery,0.000579237
clustered,0.000577909
correlations,0.000577909
expressive,0.000577909
pagerank,0.000577909
declarative,0.000577848
behavior,0.000577125
2010,0.000571892
classes,0.000571892
defects,0.000571892
emergency,0.000571892
executable,0.000571892
investigating,0.000571892
ion,0.000571892
stage,0.000571892
things,0.000571892
wavelength,0.000571892
coverage,0.000570267
designing,0.000570267
experiment,0.000564557
to,0.00056342
incremental,0.000563037
novel,0.000559343
position,0.000558127
scientific,0.000556781
continuous,0.000553411
improved,0.00055233
configuration,0.000551526
smart,0.000544115
issue,0.000539237
ranking,0.000539237
annealing,0.000536126
artifacts,0.000536126
chinese,0.000536126
contact,0.000536126
crosscutting,0.000536126
degree,0.000536126
dependence,0.000536126
doped,0.000536126
electron,0.000536126
engineer,0.000536126
formalizing,0.000536126
medium,0.000536126
rf,0.000536126
spl,0.000536126
undergraduate,0.000536126
detection,0.000535861
anonymization,0.000534987
auditing,0.000534987
linkage,0.000534987
loading,0.000534987
normal,0.000534987
stores,0.000534987
3,0.000534207
enterprise,0.00053344
understanding,0.00053344
external,0.000530126
maintaining,0.000530126
carbon,0.000526517
university,0.000526517
improving,0.000521329
resident,0.000516687
approximation,0.000514153
table,0.000514153
cloud,0.000511769
managing,0.000510401
consistent,0.000510029
progressive,0.000510029
page,0.000509999
challenges,0.000509679
chain,0.000507472
automatic,0.000506073
evolving,0.000505636
band,0.000500363
carrier,0.000500363
cavity,0.000500363
checker,0.000500363
cognitive,0.000500363
contract,0.000500363
controller,0.000500363
corba,0.000500363
doping,0.000500363
enterprises,0.000500363
initial,0.000500363
offshore,0.000500363
reusable,0.000500363
validating,0.000500363
visualizing,0.000500363
waveguide,0.000500363
adoption,0.000495092
enhancement,0.000495092
segmentation,0.000495092
science,0.00049255
clustering,0.000484638
composition,0.00048306
applying,0.000482456
archiving,0.000482193
biodiversity,0.000482193
declustering,0.000482193
differentially,0.000482193
directory,0.000482193
elephants,0.000482193
instance,0.000482193
locks,0.000482193
outlier,0.000482193
preface,0.000482193
